model_name,strata,variable,year,pred,pred_lci,pred_uci,obs,obs_cv,obs_lci,obs_uci
M22_2022,SBS,biomass_pred,1991,1925.8801403473178,650.9606647616258,5697.754896361369,1925.2,0.6599781797224442,592.4443570535115,6256.106579246609
M22_2022,SBS,biomass_pred,1992,1926.8917046183483,445.9310700986249,8326.200819570231,NA,NA,NA,NA
M22_2022,SBS,biomass_pred,1993,1927.903800211268,442.8498998683128,8392.940958040843,NA,NA,NA,NA
M22_2022,SBS,biomass_pred,1994,1928.9164274051523,632.8087748597076,5879.688670148942,1959.1,0.775935093382316,510.14759689065045,7523.455630082445
M22_2022,SBS,biomass_pred,1995,1895.9710541978727,424.252459431979,8473.035708900903,NA,NA,NA,NA
M22_2022,SBS,biomass_pred,1996,1863.5883790942278,402.15598471208574,8635.857176616277,NA,NA,NA,NA
M22_2022,SBS,biomass_pred,1997,1831.758791362114,522.843082390049,6417.49003237123,2428.4,0.9719779051889224,491.04256284069385,12009.400011854315
M22_2022,SBS,biomass_pred,1998,1432.7875868873657,314.74192287636066,6522.423992259044,NA,NA,NA,NA
M22_2022,SBS,biomass_pred,1999,1120.7153904865283,258.409922363979,4860.506032366089,NA,NA,NA,NA
M22_2022,SBS,biomass_pred,2000,876.6149274101069,301.609345468262,2547.8445628571894,645.3,0.7328469890503969,178.5142558160354,2332.6545440109053
M22_2022,SBS,biomass_pred,2001,1006.6988306226075,279.22292173821336,3629.5105332615994,NA,NA,NA,NA
M22_2022,SBS,biomass_pred,2002,1156.086331510535,440.8938694545305,3031.422522520072,1463.2,0.652794653149657,455.1575730642738,4703.76495240182
M22_2022,SBS,biomass_pred,2003,928.4677208396521,267.3861111111645,3223.998079252456,NA,NA,NA,NA
M22_2022,SBS,biomass_pred,2004,745.6643030411278,301.29245346599083,1845.4337187458714,630.3,0.6032067442266096,211.5317384284265,1878.1015697765963
M22_2022,SBS,biomass_pred,2005,801.8164847030594,235.8075658092878,2726.416656459328,NA,NA,NA,NA
M22_2022,SBS,biomass_pred,2006,862.1972012332085,351.10515722393376,2117.268853844405,1180.2,0.5213402246785924,451.4197035548921,3085.5366503306127
M22_2022,SBS,biomass_pred,2007,458.72267654259804,107.55735316969898,1956.4119771746698,NA,NA,NA,NA
M22_2022,SBS,biomass_pred,2008,244.0584284818254,45.410956903256654,1311.6771936762823,NA,NA,NA,NA
M22_2022,SBS,biomass_pred,2009,129.84864180240046,23.107332056138425,729.6675244448692,NA,NA,NA,NA
M22_2022,SBS,biomass_pred,2010,69.08456258941986,13.950804397481868,342.1076414083293,15,0.998798497485732,2.9378793856922276,76.58585342059067
M22_2022,SBS,biomass_pred,2011,120.74372610140297,30.685607166918686,475.1102793419022,NA,NA,NA,NA
M22_2022,SBS,biomass_pred,2012,211.03191286736688,65.06137650487187,684.4993241900612,561.9,0.7123098827203804,160.09355364380454,1972.169414781546
M22_2022,SBS,biomass_pred,2013,101.94500136184081,28.001339690376344,371.15307401658265,NA,NA,NA,NA
M22_2022,SBS,biomass_pred,2014,49.24744869842301,16.71430147842914,145.10395223119693,28.1,0.70853055678337,8.050025444557754,98.087888720130465
M22_2022,SBS,biomass_pred,2015,50.02366765246079,12.922634164507192,193.642201237636,NA,NA,NA,NA
M22_2022,SBS,biomass_pred,2016,50.812121064943256,15.675754673950449,164.70477503765318,74.4,1.0000764237127715,14.549970041187134,380.43789673317934
M22_2022,SBS,biomass_pred,2017,38.3734393381549,9.01221455869239,163.3916766017061,NA,NA,NA,NA
M22_2022,SBS,biomass_pred,2018,28.979716173568434,7.2215428785461775,116.29425506778338,13.3,1.0008759347855116,2.598556929950024,68.07239739919882
M22_2022,SBS,biomass_pred,2019,40.06609013946885,7.667754494816962,209.35615246277692,NA,NA,NA,NA
M22_2022,SBS,biomass_pred,2020,55.3936266818301,10.206569412653472,300.63518435115725,NA,NA,NA,NA
M22_2022,SBS,biomass_pred,2021,76.58480940577834,16.744656067606847,350.27491804181653,NA,NA,NA,NA
M22_2022,SBS,biomass_pred,2022,105.88281329561836,37.35720313570332,300.10732095412,127.2,0.5973252242925475,43.08218940336678,375.5575151604431
