model_name,strata,variable,year,pred,pred_lci,pred_uci,obs,obs_cv,obs_lci,obs_uci
MpoolPE_2024,AI,biomass_pred,2012,16148.442263944122,10745.754305726989,24267.462304899087,15667.717011,0.2636668903219587,9426.107169126517,26042.283620622824
MpoolPE_2024,AI,biomass_pred,2013,16230.370426673479,9402.616262245621,28016.130493889097,NA,NA,NA,NA
MpoolPE_2024,AI,biomass_pred,2014,16312.714247070495,9980.25583805024,26663.10868425226,16400.506652,0.37717952611848754,8024.4719007733665,33519.54144376442
MpoolPE_2024,AI,biomass_pred,2015,16337.463569070876,9273.775754457549,28781.45028926577,NA,NA,NA,NA
MpoolPE_2024,AI,biomass_pred,2016,16362.250440244849,10209.268615029858,26223.547402323864,15024.870236,0.3158249215433078,8210.019170294112,27496.49189924509
MpoolPE_2024,AI,biomass_pred,2017,17730.232300623753,9608.63491970205,32716.524257727728,NA,NA,NA,NA
MpoolPE_2024,AI,biomass_pred,2018,19212.585614804775,10281.466989733744,35901.8266921229,26319.557972,0.5550339790600006,9531.754376931358,72674.88276009077
MpoolPE_2024,AI,biomass_pred,2019,18782.171483143327,9123.919051825693,38664.30243609114,NA,NA,NA,NA
MpoolPE_2024,AI,biomass_pred,2020,18361.39979776413,8760.04319522522,38486.226040197595,NA,NA,NA,NA
MpoolPE_2024,AI,biomass_pred,2021,17950.05454166526,9043.102136664605,35629.85944197213,NA,NA,NA,NA
MpoolPE_2024,AI,biomass_pred,2022,17547.924537212708,10256.641334635806,30022.465007512703,19505.161328,0.355814890606018,9914.237946477235,38374.237181435594
MpoolPE_2024,AI,biomass_pred,2023,15868.873910877022,8374.039465741407,30071.64705033045,NA,NA,NA,NA
MpoolPE_2024,AI,biomass_pred,2024,14350.4810876804,7622.90804184409,27015.45214994538,11878.126827,0.423744716271497,5355.998081597057,26342.40990546185
MpoolPE_2024,EBS Slope,biomass_pred,1991,4239.062644837332,880.8942440194984,20399.32969122399,NA,NA,NA,NA
MpoolPE_2024,EBS Slope,biomass_pred,1992,4239.062031224104,984.6294650209938,18250.161652619936,NA,NA,NA,NA
MpoolPE_2024,EBS Slope,biomass_pred,1993,4239.061417610972,1110.7776430223191,16177.532753886075,NA,NA,NA,NA
MpoolPE_2024,EBS Slope,biomass_pred,1994,4239.060803997921,1268.1938479768855,14169.471432666198,NA,NA,NA,NA
MpoolPE_2024,EBS Slope,biomass_pred,1995,4239.0601903849665,1471.9751092099339,12207.836386140812,NA,NA,NA,NA
MpoolPE_2024,EBS Slope,biomass_pred,1996,4239.059576772093,1751.353479156346,10260.422187347027,NA,NA,NA,NA
MpoolPE_2024,EBS Slope,biomass_pred,1997,4239.058963159317,2177.2330475293943,8253.42097095775,NA,NA,NA,NA
MpoolPE_2024,EBS Slope,biomass_pred,1998,5002.241207495882,2478.45428335835,10095.976861862471,NA,NA,NA,NA
MpoolPE_2024,EBS Slope,biomass_pred,1999,5902.823554811092,3120.381676959059,11166.366658449593,NA,NA,NA,NA
MpoolPE_2024,EBS Slope,biomass_pred,2000,5856.692079895438,3018.0140871332264,11365.368460321497,NA,NA,NA,NA
MpoolPE_2024,EBS Slope,biomass_pred,2001,5810.921129558932,3343.6290701383955,10098.848785447612,NA,NA,NA,NA
MpoolPE_2024,EBS Slope,biomass_pred,2002,5665.26129011368,3402.5780239409805,9432.608233943389,4876.942736,0.43379340746196465,2161.220746091004,11005.155532234372
MpoolPE_2024,EBS Slope,biomass_pred,2003,5961.373216155922,3492.072401117686,10176.756533148278,NA,NA,NA,NA
MpoolPE_2024,EBS Slope,biomass_pred,2004,3597.322560554881,2476.759170294382,5224.863910825459,2621.322918,0.2169582422988122,1721.729125130009,3990.9494125059714
MpoolPE_2024,EBS Slope,biomass_pred,2005,3973.0038886030784,2411.5257479758952,6545.548979563683,NA,NA,NA,NA
MpoolPE_2024,EBS Slope,biomass_pred,2006,4375.929620166228,2413.289243375389,7934.714039443287,NA,NA,NA,NA
MpoolPE_2024,EBS Slope,biomass_pred,2007,4819.718424031265,2844.3263106803943,8167.025562334171,NA,NA,NA,NA
MpoolPE_2024,EBS Slope,biomass_pred,2008,4890.968778763384,3124.689133634175,7655.665754825395,7308.119245,0.3146199979735285,4002.160813420757,13344.942741940838
