survey_definition_id,year,area_id,species_code,length_mm,sex,population_count,akfin_load_date
52,1997,99904,30576,400,female,470113,2024-10-24T16:20:42Z
52,1997,99904,30576,410,male,342595,2024-10-24T16:20:42Z
52,1997,99904,30576,410,female,644825,2024-10-24T16:20:42Z
52,1997,99904,30576,420,male,452044,2024-10-24T16:20:42Z
52,1997,99904,30576,420,female,552118,2024-10-24T16:20:42Z
52,1997,99904,30576,430,male,584479,2024-10-24T16:20:42Z
52,1997,99904,30576,430,female,612181,2024-10-24T16:20:42Z
52,1997,99904,30576,440,male,607294,2024-10-24T16:20:42Z
52,1997,99904,30576,440,female,676641,2024-10-24T16:20:42Z
52,1997,99904,30576,450,male,564830,2024-10-24T16:20:42Z
52,1997,99904,30576,450,female,832394,2024-10-24T16:20:42Z
52,1997,99904,30576,460,male,523132,2024-10-24T16:20:42Z
52,1997,99904,30576,460,female,535788,2024-10-24T16:20:42Z
52,1997,99904,30576,470,male,743411,2024-10-24T16:20:42Z
52,1997,99904,30576,470,female,992669,2024-10-24T16:20:42Z
52,1997,99904,30576,480,male,679118,2024-10-24T16:20:42Z
52,1997,99904,30576,480,female,601607,2024-10-24T16:20:42Z
52,1997,99904,30576,490,male,564771,2024-10-24T16:20:42Z
52,1997,99904,30576,490,female,511949,2024-10-24T16:20:42Z
52,1997,99904,30576,500,male,666767,2024-10-24T16:20:42Z
52,1997,99904,30576,500,female,499266,2024-10-24T16:20:42Z
52,1997,99904,30576,510,male,344970,2024-10-24T16:20:42Z
52,1997,99904,30576,510,female,363513,2024-10-24T16:20:42Z
52,1997,99904,30576,520,male,306284,2024-10-24T16:20:42Z
52,1997,99904,30576,520,female,398829,2024-10-24T16:20:42Z
52,1997,99904,30576,530,male,331744,2024-10-24T16:20:42Z
52,1997,99904,30576,530,female,275639,2024-10-24T16:20:42Z
52,1997,99904,30576,540,male,204156,2024-10-24T16:20:42Z
52,1997,99904,30576,540,female,283044,2024-10-24T16:20:42Z
52,1997,99904,30576,550,male,218936,2024-10-24T16:20:42Z
52,1997,99904,30576,550,female,180227,2024-10-24T16:20:42Z
52,1997,99904,30576,560,male,145692,2024-10-24T16:20:42Z
52,1997,99904,30576,560,female,242338,2024-10-24T16:20:42Z
52,1997,99904,30576,570,male,89358,2024-10-24T16:20:42Z
52,1997,99904,30576,570,female,67717,2024-10-24T16:20:42Z
52,1997,99904,30576,580,male,89457,2024-10-24T16:20:42Z
52,1997,99904,30576,580,female,98287,2024-10-24T16:20:42Z
52,1997,99904,30576,590,male,50637,2024-10-24T16:20:42Z
52,1997,99904,30576,590,female,51208,2024-10-24T16:20:42Z
52,1997,99904,30576,600,male,23908,2024-10-24T16:20:42Z
52,1997,99904,30576,600,female,74480,2024-10-24T16:20:42Z
52,1997,99904,30576,610,male,39012,2024-10-24T16:20:42Z
52,1997,99904,30576,610,female,56909,2024-10-24T16:20:42Z
52,1997,99904,30576,620,male,39872,2024-10-24T16:20:42Z
52,1997,99904,30576,620,female,31197,2024-10-24T16:20:42Z
52,1997,99904,30576,630,male,24138,2024-10-24T16:20:42Z
52,1997,99904,30576,630,female,9461,2024-10-24T16:20:42Z
52,1997,99904,30576,640,male,38944,2024-10-24T16:20:42Z
52,1997,99904,30576,640,female,2131,2024-10-24T16:20:42Z
52,1997,99904,30576,650,male,3703,2024-10-24T16:20:42Z
52,1997,99904,30576,650,female,28214,2024-10-24T16:20:42Z
52,1997,99904,30576,660,male,11083,2024-10-24T16:20:42Z
52,1997,99904,30576,660,female,2808,2024-10-24T16:20:42Z
52,1997,99904,30576,670,male,18966,2024-10-24T16:20:42Z
52,1997,99904,30576,670,female,31606,2024-10-24T16:20:42Z
52,1997,99904,30576,680,female,22494,2024-10-24T16:20:42Z
52,1997,99904,30576,690,female,3070,2024-10-24T16:20:42Z
52,1997,99904,30576,700,male,16147,2024-10-24T16:20:42Z
52,1997,99904,30576,700,female,28234,2024-10-24T16:20:42Z
52,1997,99904,30576,710,male,19605,2024-10-24T16:20:42Z
52,1997,99904,30576,710,female,6886,2024-10-24T16:20:42Z
52,1997,99904,30576,720,male,13317,2024-10-24T16:20:42Z
52,1997,99904,30576,730,male,17161,2024-10-24T16:20:42Z
52,1997,99904,30576,820,female,16166,2024-10-24T16:20:42Z
52,1997,99904,30576,840,male,16166,2024-10-24T16:20:42Z
52,1997,99904,30576,870,male,16166,2024-10-24T16:20:42Z
52,1997,99904,30576,900,female,16166,2024-10-24T16:20:42Z
52,1997,99904,30576,910,male,16166,2024-10-24T16:20:42Z
52,1997,99904,30576,920,male,16166,2024-10-24T16:20:42Z
52,1997,99904,30576,920,female,16166,2024-10-24T16:20:42Z
52,1997,99904,30576,950,female,32331,2024-10-24T16:20:42Z
52,1997,99904,30576,960,female,16166,2024-10-24T16:20:42Z
52,2002,99904,30576,600,female,71239,2024-10-24T16:20:42Z
52,2002,99904,30576,610,male,68124,2024-10-24T16:20:42Z
52,2002,99904,30576,610,female,57620,2024-10-24T16:20:42Z
52,2002,99904,30576,620,male,28694,2024-10-24T16:20:42Z
52,2002,99904,30576,620,female,18973,2024-10-24T16:20:42Z
52,2002,99904,30576,630,male,11703,2024-10-24T16:20:42Z
52,2002,99904,30576,630,female,36596,2024-10-24T16:20:42Z
52,2002,99904,30576,640,female,23038,2024-10-24T16:20:42Z
52,2002,99904,30576,650,female,13387,2024-10-24T16:20:42Z
52,2002,99904,30576,660,male,6383,2024-10-24T16:20:42Z
52,2002,99904,30576,660,female,40751,2024-10-24T16:20:42Z
52,2002,99904,30576,670,male,11879,2024-10-24T16:20:42Z
52,2002,99904,30576,680,female,2870,2024-10-24T16:20:42Z
52,2002,99904,30576,690,male,6675,2024-10-24T16:20:42Z
52,2002,99904,30576,690,female,9301,2024-10-24T16:20:42Z
52,2002,99904,30576,700,female,13202,2024-10-24T16:20:42Z
52,2002,99904,30576,720,female,16133,2024-10-24T16:20:42Z
52,2002,99904,30576,730,male,2626,2024-10-24T16:20:42Z
52,2002,99904,30576,730,female,6675,2024-10-24T16:20:42Z
52,2002,99904,30576,760,female,9301,2024-10-24T16:20:42Z
52,2002,99904,30576,770,female,9545,2024-10-24T16:20:42Z
52,2002,99904,30576,790,female,8375,2024-10-24T16:20:42Z
52,2002,99904,30576,900,male,6675,2024-10-24T16:20:42Z
52,2002,99904,30576,900,female,6675,2024-10-24T16:20:42Z
52,2002,99904,30576,950,female,6179,2024-10-24T16:20:42Z
52,2002,99904,30576,990,male,6675,2024-10-24T16:20:42Z
52,2002,99904,30576,110,unsexed,8599,2024-10-24T16:20:42Z
52,2002,99904,30576,140,male,16604,2024-10-24T16:20:42Z
52,2002,99904,30576,140,female,6207,2024-10-24T16:20:42Z
52,2002,99904,30576,150,male,16604,2024-10-24T16:20:42Z
52,2002,99904,30576,160,female,33562,2024-10-24T16:20:42Z
52,2002,99904,30576,210,male,6207,2024-10-24T16:20:42Z
52,2002,99904,30576,220,male,6383,2024-10-24T16:20:42Z
52,2002,99904,30576,230,male,6383,2024-10-24T16:20:42Z
52,2002,99904,30576,240,male,33562,2024-10-24T16:20:42Z
52,2002,99904,30576,240,female,6383,2024-10-24T16:20:42Z
52,2002,99904,30576,250,male,6159,2024-10-24T16:20:42Z
52,2002,99904,30576,250,female,33562,2024-10-24T16:20:42Z
52,2002,99904,30576,260,male,12415,2024-10-24T16:20:42Z
52,2002,99904,30576,260,female,33562,2024-10-24T16:20:42Z
52,2002,99904,30576,280,male,14168,2024-10-24T16:20:42Z
52,2002,99904,30576,280,female,15233,2024-10-24T16:20:42Z
52,2002,99904,30576,290,male,15233,2024-10-24T16:20:42Z
52,2002,99904,30576,300,female,47895,2024-10-24T16:20:42Z
52,2002,99904,30576,310,male,6179,2024-10-24T16:20:42Z
